Date,MonthYear,,Attack Name,Network,Type of attack,Type of Protocol,Losses in USD,Deplorer Adress,Attacker,Attacker Smart Contracts,Attacked Protocol Addresses,Exploit is happening during smart contract creation,Forta Detected,Detected For Protocol,AlertId,Time of Alert,ExploitTxHash,Time of Exploit Tx,Diff,Diff in sec,Detected Early or During Exploit,Super Early,Alert id - Beta,Time of Beta/beta alt or Lean AD,DIff with exploit in secs,prod vs beta/lean -diff in secs,Time to Detect Comment,Victim,Status,Victim Comment,Comment,Indication of performance issue,Github Issue,Bullet points,ProtocolContracts,MatchingAlertHashesForProtocolContracts_TPs,MatchingAlertHashesForProtocolContracts_FPs,FP Count,MEV FrontRun,Hyperlink,# of TX to any protocol address where a new contract is created (60days prior to attack),,Funded by,Funder exploit contract
,189912,,Dungeon Swap,BSC,,,,,0x7d192fa3a48c307100c3e663050291fff786aa1f,,,,FN,,,,0x3ee23c1585474eaa4f976313cafbc09461abb781d263547c8397788c68a00160,Feb-27-2023 06:25:41 AM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2023,20232,,AquaDAO,Cosmos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2023,20232,,NFTCloud,BSC,,,,,0x16b904b61a5104e270521e759d27520bb97f1dd0,,,,FN,,,,0x4897b7fb241c72dc96d97ba4ad42c00654d47cb3961239f5088b878942b4d48d,2023-02-24 09:33:02 (UTC),,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2023,20232,,FEG Token,BSC,,,,,0x2c4d38413b3eabaf73b12d23525521850fc7cc0b,,,,FN,,,,0x5e4e4431751c462b068268376c43e7759fee2a53e224e59b42d8d485269c91ec,Feb-23-2023 05:11:03 PM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2023,20232,,Dynamic Finance,BSC,,,,,0x0C925A25fDaaC4460CAb0CC7abc90Ff71f410094,,,,FN,,,,0xc09678fec49c643a30fc8e4dec36d0507dae7e9123c270e1f073d335deab6cf0,Feb-22-2023 05:36:32 AM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2023,20232,,Revert Finance,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2023,20232,,Dexible,Mainnet,,,,,0x684083f312ac50f538cc4b634d85a2feafaab77a,,,,TP,,,"Fri, 17 Feb 2023 05:33:35 GMT",0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,Feb-17-2023 04:20:35 AM +UTC,4680,4680,,,,,,,,No Victim,,,,,,,,,,,,,,,,
2/15/2023,20232,,Multichain,Mainnet,,,,,0xfde0d1575ed8e06fbf36256bcdfa1f359281455a,,,,FN,,,,0x192e2f19ab497f93ed32b2ed205c4b2ff628c82e2f236b26bec081ac361be47f,Feb-15-2023 03:47:35 AM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2023,20232,,Platypus Finance,Avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2023,20232,,SushiSwap Bento Box,Mainnet,,,,,0xe7f7a0154bf17b51c89d125f4bca543e8821d92f,,,,FN,,,,0x9098af4f226d88edd7097a122d0368d79a0ab5781766cc0a95b197188404f751,Feb-09-2023 09:55:59 PM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2023,20232,,CoW Swap Protocol,Mainnet,,,,,"0xc0E82C1ed4786F8B7F806D1B8A6335ec485266fF,0x94b6F400df694D0de29F600B15BAeed83E95658C",,,,FN,,,,0x9d8e649bfeb42fe0523939baf803160a0fbbdc7cc8122c8c5e24c8ab40f8af85,Feb-07-2023 02:13:11 AM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2023,20232,,LionGo,BSC,,,,,0x36d173937f3e03074246adcfd6e4d06f3638c28a,,,,FN,,,,0xd29c32ab8e43192ceea1d8c632e8c3136323215acb99936f6d85e891f69a6b34,Feb-07-2023 03:32:27 PM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2023,20232,,DForce Network,Arbitrum/Optimism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2023,20232,,Degen Millionaires Club,BSC,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2023,20232,,SperaxUSD,Arbitrum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2023,20232,,Orion Protocol,Mainnet/ BSC,,,,,"0x3dabf5e36df28f6064a7c5638d0c4e01539e35f1, 0x837962b686fd5a407fb4e5f92e8be86a230484bd",,,,FN,,,,0xfb153c572e304093023b4f9694ef39135b6ed5b2515453173e81ec02df2e2104,Feb-02-2023 03:40:20 PM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2023,20232,,Bevo,BSC,,,,,0xd3455773C44bF0809e2aEff140E029c632985C50,,,,FN,,,,0xb97502d3976322714c828a890857e776f25c79f187a32e2d548dda1c315d2a7d,2023-01-30 09:37:05 (UTC),,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2023,20232,,BonqDAO,Mainnet,,,,,0xcAcf2D28B2A5309e099f0C6e8C60Ec3dDf656642,,,,FN,,,,0xdd6dd9726a1ad07412b9bf2ae407d2e030f29394703f43ec18859ba8d8368349,Feb-01-2023 07:02:11 PM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2023,20233,,Shata Capital,Mainnet,,,,,0xa0959536560776ef8627da14c6e8c91e2c743a0a,,,,FN,,,,,,,,,,,,,,,,,,Identified as MEV,,,,,,,,,,,,,
