bot_id,alert_id,type,location,attacker_address_location_in_description,metadata_field,address_information
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-phishing-sale,eoa,metadata,,toAddr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-phishing-sale,eoa,metadata,,to_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-phishing-sale,eoa,metadata,,initiator,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-HIGH-NUM-APPROVED-TRANSFERS,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-PERMITTED-ERC20-TRANSFER,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-HIGH-NUM-ERC20-APPROVALS,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-HIGH-NUM-ERC721-APPROVALS,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ERC20-APPROVAL-FOR-ALL,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ERC721-APPROVAL-FOR-ALL,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ERC1155-APPROVAL-FOR-ALL,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ERC20-SCAM-PERMIT,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ERC20-SCAM-CREATOR-PERMIT,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SCAM-APPROVAL,eoa,description,13,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SCAM-CREATOR-APPROVAL,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SCAM-TRANSFER,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SCAM-CREATOR-TRANSFER,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-PULL-SWEEPTOKEN,eoa,metadata,,attacker,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-OPENSEA-PROXY-UPGRADE,eoa,metadata,,attacker,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-PIG-BUTCHERING,eoa,metadata,,receiver,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ZERO-NONCE-ALLOWANCE,eoa,metadata,,attacker,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ZERO-NONCE-ALLOWANCE-TRANSFER,contract,metadata,,attacker1,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ZERO-NONCE-ALLOWANCE-TRANSFER,eoa,metadata,,attacker2,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-ZERO-NONCE-ALLOWANCE-TRANSFER,contract,metadata,,attacker3,
