Date	ChainId	Indicator	Verdict	ThreatCategory	Metric
8/31/23	56	0xbff5188881d325bddde9918d243c4aa1dae30471	Likely TP	soft-rug-pull	precision
8/29/23	56	0x50e7bcd8706bfa09ab5cb3311ff0bc8d3bbfcff6	TP	address-poisoner	precision
8/31/23	56	0x954f3a073eb1748fce40c0cb3a2bd1565924c05f	Likely TP	address-poisoner	precision
8/29/23	56	0x6ebcc4b62b7a27e8890518c7bca7101c0ff2fcea	Likely TP	address-poisoner	precision
8/31/23	56	0x627092447cdb7f8778bccbad462fc88a40f7f6a3	Likely TP	native-ice-phishing	precision
8/31/23	56	0x68d554e74924faa5196566f9984de448a136963a	Likely TP	native-ice-phishing-social-engineering	precision
8/31/23	56	0xd2e4c86dc71a9471ed5e992e4f16db72fc2fe639	Likely TP	native-ice-phishing-social-engineering	precision
8/30/23	56	0x573404d01216da08f52edc4a28af95c78e419022	Likely TP	native-ice-phishing-social-engineering	precision
8/31/23	56	0x519e087efdf51cd85238e2ec75576bb882189b12	Likely TP	native-ice-phishing-social-engineering	precision
8/31/23	56	0x2feafe398289cf20a9dcab80b2de66b7c86f72a9	Likely TP	native-ice-phishing-social-engineering	precision
8/31/23	56	0xa2c203d7ef78ed80810da8404090f926d67cd892	Likely TP	native-ice-phishing-social-engineering	precision
8/29/23	56	0x8e2571794c1897c03f1d8aa9bfd2c01c0efe80a4	Likely TP	ice-phishing	precision
8/31/23	56	0x54f40fe16375a34f74638c8924e78bec07d4c6a2	Likely TP	ice-phishing	precision
8/30/23	56	0x0a3f582635b88c8c2fcfdd0a81dc10dff143b76f	Likely TP	ice-phishing	precision
8/30/23	56	0x98e0c1c7e8e39f3f34edfa9d6ebe00854796b73e	Likely TP	ice-phishing	precision
8/26/23	56	0x8f9c78aa3925ef86f2b93ce1dc5f04709be00ed0	TP	address-poisoner	precision
8/24/23	56	0xded031ea774c00aaaf757a4ca5c62db7fe8c0d1b	TP	address-poisoner	precision
8/22/23	56	0x50e7bcd8706bfa09ab5cb3311ff0bc8d3bbfcff6	TP	address-poisoner	precision
8/22/23	56	0x92cfb1a3b0babfd08584372f9cbd493b6c266f72	TP	address-poisoner	precision
8/27/23	56	0x537abb8e5be7e6d17a8e51a899f508fd3ccac046	TP	address-poisoner	precision
8/26/23	56	0x93431127922cd5b00e33a61935977e7f3a86af12	TP	address-poisoner	precision
8/23/23	56	0x06b2b4a0c0552b71b630888e28bca5e47b66c7b1	Likely FP	fraudulent-nft-orders	precision
8/26/23	56	0x771443d8014fe0860f59ad6af22978ff81e54b97	TP	native-ice-phishing-social-engineering	precision
8/24/23	56	0x6046f65ed489498867594eca8bfcfebaea4964dc	TP	native-ice-phishing-social-engineering	precision
8/24/23	56	0x73cd13a8f620499dd2936ace3283b871a258f721	TP	native-ice-phishing-social-engineering	precision
8/24/23	56	0x1a24509b277b9fbe4535811054405d8b27cc2e66	TP	native-ice-phishing-social-engineering	precision
8/22/23	56	0x982a49d7bba9095b7f4ddbd0c99f3abccca84adb	TP	native-ice-phishing-social-engineering	precision
8/23/23	56	0xdf701a5ae2f452712f2c2b6806f6720ed514c3fd	TP	native-ice-phishing-social-engineering	precision
8/24/23	56	0x573404d01216da08f52edc4a28af95c78e419022	TP	native-ice-phishing-social-engineering	precision
8/27/23	56	0x1c861dbf434401a30fbb7f42bb9a2df970cb47d3	TP	native-ice-phishing-social-engineering	precision
8/22/23	56	0x5630a5f13b00b66b73bece78f0c95bdaf9d0c20d	Likely FP	native-ice-phishing-social-engineering	precision
8/27/23	56	0xd2de3f891bed66ee7db9ef4937cfa840d1138424	TP	native-ice-phishing-social-engineering	precision
8/25/23	56	0x52a100e4d7d02e2c6c2348fdc20320bac91f4275	TP	native-ice-phishing-social-engineering	precision
8/23/23	56	0xc6fda17632113e80e24e4fdd49114cc1ab97c6d0	Likely TP	native-ice-phishing-social-engineering	precision
8/26/23	56	0x6421743b54dbf6e4cdbee2148a5abfd175158110	TP	native-ice-phishing-social-engineering	precision
8/25/23	56	0xe1ab5419252ace49bfa6d88e96d8e6dfdff706f8	TP	native-ice-phishing-social-engineering	precision
8/23/23	56	0x0d207d1c45be7ba5cce3e104580d9802b5ee0365	TP	native-ice-phishing-social-engineering	precision
8/22/23	56	0x97e96a3a830414b720242fd250631cfdc8934b09	TP	native-ice-phishing-social-engineering	precision
8/27/23	56	0x827b9964ac18b540ee0916c1bdc50de11043eec1	TP	native-ice-phishing-social-engineering	precision
8/25/23	56	0x18dc3d17f14b89e287566da699a037b3a6ea4cd5	TP	native-ice-phishing-social-engineering	precision
8/26/23	56	0xc7a96fa04c25c4d787382d82e2b90de9628acb97	TP	native-ice-phishing-social-engineering	precision
8/27/23	56	0xcdf79e85a5e8ffd8d93def3d3c7580b8ab8870cd	TP	native-ice-phishing-social-engineering	precision
8/27/23	56	0x0e8d7eb6d686cfcd7e2d714e0ab87b4b1a9b699c	TP	native-ice-phishing-social-engineering	precision
8/24/23	56	0x09aacbf23e147a02918cb70a560a95924b1a32fe	TP	native-ice-phishing-social-engineering	precision
8/24/23	56	0x49ec48ae990cfcd57316ece7cfeff9f79d32b669	TP	native-ice-phishing-social-engineering	precision
8/25/23	56	0x3450286f8aa9d9755e24c964b95b559d2e8ee81d	TP	native-ice-phishing-social-engineering	precision
8/25/23	56	0x46ddfbbd850bec5defced1b2b18c8bca4dcb8b0b	TP	native-ice-phishing-social-engineering	precision
8/25/23	56	0xdd75709a68431a62f2d3c3285dd4ac1449d3197f	TP	native-ice-phishing-social-engineering	precision
8/26/23	56	0xeb001429dd9d1e8a8051e08b12b59c5135e44a46	TP	ice-phishing	precision
8/24/23	56	0x1db65ca97fae24b6f0d5cd3e11619d82c2d565c2	TP	ice-phishing	precision
8/24/23	56	0x494fab60caa41aef437f4962a4d39227a62ba737	TP	ice-phishing	precision
8/25/23	56	0x4afee275cef39a7b8a48157b8cba657657048598	TP	ice-phishing	precision
8/22/23	56	0x3b4ffae8bc2769adb631876f270603d5d4391f56	TP	ice-phishing	precision
8/25/23	56	0xca10ae1adfa6817332d9444bdd5c167373548afd	Likely FP	ice-phishing	precision
8/22/23	56	0xfd1f21a19b49cca24318d73197b625cdb730eabc	TP	ice-phishing	precision
8/23/23	56	0xf105d8147dbf8f4f5915ed344adf547059f236ae	TP	ice-phishing	precision
8/24/23	56	0x4995948bb2369a904465e7290bef09175ffa9832	TP	ice-phishing	precision
8/25/23	56	0x33a1c998f1c1ada9ac781e52aae7befa94ed90e9	TP	ice-phishing	precision
8/27/23	56	0x8b88caa317b246dc2162c223cd1386794d146620	TP	ice-phishing	precision
